Submitted on:,Department,Course,Group,Gender,Q01_Class Demographics,Absenteeism,Q02_General Questions->A - 1. I am enjoying the subject,Q02_General Questions->A - 2. Classes start and end on time,"Q02_General Questions->A - 3. The learning environment is participative, involves learning by doing and is group-based",Q02_General Questions->A - 4. The subject content is delivered according to the course outline and meets my expectations,Q02_General Questions->A - 5. The topics are clear and logically developed,Q02_General Questions->A - 6. I am developing my oral and writing skills,Q02_General Questions->A - 7. I am developing my reflective and critical reasoning skills,Q02_General Questions->A - 8. The assessment methods are assisting me to learn,Q02_General Questions->A - 9. I receive relevant feedback,Q02_General Questions->A - 10. I read the recommended readings and notes,Q02_General Questions->A - 11. I use the eLearning material posted,Q03_Level of Learning Achieved->B - 1. Concept 1 of 4 - Ensemble Methods for Predictive Analytics,Q03_Level of Learning Achieved->B - 2. Concept 2 of 4 - Predictive Modelling Using R,Q04_Quality of Teaching Strategies->C - 1. Labs with comments that describe each step to be followed,Q04_Quality of Teaching Strategies->C - 2. Labs that require you to put in effort to make a submission related to the content of the lab,Q04_Quality of Teaching Strategies->C - 3. Labs that require you to use Git to work in a team,Q04_Quality of Teaching Strategies->C - 4. Labs that require you to work alone,"Q04_Quality of Teaching Strategies->C - 5. The quality of the lectures given (quality measured by the breadth (the full span of knowledge of a subject) and depth (the extent to which specific topics are focused upon, amplified, and explored) of learning - NOT quality measured by how fun/comical/lively the lectures are)",Q04_Quality of Teaching Strategies->C - 6. The recordings of online classes,Q04_Quality of Teaching Strategies->C - 7. Online classes in general,Q04_Quality of Teaching Strategies->C - 8. Face-to-Face classes in general,Q05_Likes->D - 1. Write two things you like about the teaching and learning in this unit so far.,Q05_Wishes->D - 2. Write at least one recommendation to improve the teaching and learning in this unit (for the remaining weeks in the semester)
27/09/2023 12:11,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-B,Male,3 : Group B - Regular,58.33,4,4,4,4,5,5,4,5,4,5,4,2,2,4,5,5,4,5,5,4,5,So far its been a hard unit and fortunately the teaching style for the lecture is helping as he guides us along ,I would like lab exercises to be done more in class so as to easily understand 
27/09/2023 18:35,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-B,Male,3 : Group B - Regular,66.67,4,5,5,5,5,3,3,4,3,4,3,3,3,4,3,3,5,5,4,4,4,Lecturer is efficient  classes start and end on time,Lecturer might be a bit fast at times
29/09/2023 11:05,Student,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-B,Male,4 : Group B - Exempt,75,3,5,3,3,3,3,3,3,3,3,3,3,3,2,4,2,2,2,2,2,2,Increase submission deadline ,Step by step materials/videos on how to do the lab works 
27/09/2023 17:45,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-A,Female,1 : Group A - Regular,7.69,4,5,5,5,5,3,4,5,4,3,5,4,3,5,4,3,5,4,5,4,4,The practical labs are engaging hence skill development   the teaching method and lectures ,student involvement  
27/09/2023 10:16,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-B,Male,4 : Group B - Exempt,33.33,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1. It is comprehensive  2. It is interesting.,1. Nothing
27/09/2023 10:15,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-B,Male,4 : Group B - Exempt,8.33,3,4,4,4,4,3,3,4,4,4,5,4,4,4,3,4,3,3,4,4,4,It is step by step   ,"Go easy on us abit, it is te last semester"
27/09/2023 12:21,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-C,Male,6 : Group C - Exempt,0,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,1,4,4,- The content is really engaging and intense and shows that learning is there.  - Also additional hands on skills like using GitHub and collaborations which plays a huge role in the personal development goals in the digital space. ,"- To give us insights or recommendations about certifications that we can as well do, related to this unit which will boost our C.Vs for the interested students. "
27/09/2023 10:11,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-B,Female,3 : Group B - Regular,8.33,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,N/A,N/A
26/09/2023 12:01,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-A,Male,1 : Group A - Regular,7.69,5,5,5,5,5,4,5,5,4,3,4,3,4,5,5,4,5,5,3,4,4,Interactivity and applicability of the unit,A bit more tutorials on technical errors such as ones on knitting and rendering the markdown files
27/09/2023 10:16,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-B,Female,3 : Group B - Regular,33.33,5,5,5,4,5,5,5,5,5,4,4,4,5,5,5,4,5,4,5,5,4,The online classes  The Labs that require submissions help me to dig deeper.,"If the concept requires many practicals, the classes should be more online."
01/10/2023 13:59,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-C,Female,6 : Group C - Exempt,16.67,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,The practical examples and labs,N/A
27/09/2023 12:14,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-C,Male,6 : Group C - Exempt,33.33,4,5,4,5,4,4,4,4,5,4,5,4,4,4,5,4,4,4,5,5,5,"The unit is very practical which helps me in the long run.  The lecturer does not leave anyone behind, ensures everyone has understood the concept",For the physical class to be moved to a lab
27/09/2023 10:16,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-B,Male,3 : Group B - Regular,8.33,5,5,5,5,4,4,5,5,5,5,5,5,3,5,5,3,5,5,5,4,5,Work is clearly and easily broken down  The lecturer is very available for consultation,Being more lenient with lab work
27/09/2023 12:15,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-C,Female,6 : Group C - Exempt,0,5,5,5,5,5,4,4,5,5,4,5,3,3,5,4,5,4,5,3,4,5,The teaching for this unit has been very comprehensive so far and engaging with the lecturer.  The learning implements group works.,Everything is okay so far.
27/09/2023 12:18,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-C,Male,6 : Group C - Exempt,8.33,3,4,4,4,3,3,3,3,4,2,3,3,3,3,3,3,3,2,3,4,3,Learning to use GIT  Being taught practically and through walk-throughs,Sticking to a specific application to be used
28/09/2023 09:56,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-B,Female,3 : Group B - Regular,16.67,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,2,5,5,4,4,The step by step explanation of the concepts is very helpful  The time to complete the labs is sufficient ,No recommendation at the moment
27/09/2023 12:12,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-C,Female,5 : Group C - Regular,0,4,4,3,4,4,4,3,3,4,4,5,5,3,4,3,3,4,4,3,4,4,The lec takes his time to teach the concept,None
27/09/2023 12:14,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-C,Male,5 : Group C - Regular,16.67,5,5,5,5,3,3,5,5,5,2,5,2,2,5,4,3,1,5,5,4,3,Detailed Explanations.  Quick feedback by lecturer.,The content is too broad and covers a lot i.e new softwares which make the unit overwhelming.
03/10/2023 07:25,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-C,Male,5 : Group C - Regular,41.67,4,5,5,4,4,4,5,4,4,3,4,5,4,3,3,4,4,4,4,3,4,The labs are guided and help to learn  The lecturer is willing to repeat explaining areas of less understanding,More teamwork collaboration in labs.
27/09/2023 10:44,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-B,Female,4 : Group B - Exempt,25,4,5,5,5,4,4,4,4,5,4,4,5,4,5,5,4,5,4,5,5,3,The lecturer is readily available to help when one is stuck  The unit is well structured and organized,It would be better if the physical classes were being recorded because at times one might be behind or missed an important lab step   
27/09/2023 10:17,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-B,Male,3 : Group B - Regular,8.33,5,4,5,5,5,3,4,5,4,4,5,3,4,5,5,5,5,5,4,4,5,Very in depth  Very practical,No recommendations
26/09/2023 11:58,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-A,Female,2 : Group A - Exempt,15.38,4,5,5,5,4,4,4,4,5,5,5,3,5,5,5,5,5,4,4,4,5,Its practical and has interactive learning ,N/A
27/09/2023 10:17,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-B,Male,3 : Group B - Regular,25,1,5,5,5,5,1,1,1,5,1,1,5,5,5,5,5,5,5,5,5,5,It is interactive   It is engaging,Make the course work less bulky and complex
27/09/2023 12:17,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-C,Female,5 : Group C - Regular,25,5,4,5,5,5,3,4,4,5,4,4,4,3,5,5,5,3,5,5,5,4,The lecturer does everything in his power to ensure we are comfortable with content being taught and make sure we are following along together. The e-learning site is also very well organized and categorized for this unit,no comment
27/09/2023 10:14,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-B,Female,3 : Group B - Regular,25,3,5,5,4,4,3,3,3,5,5,5,5,3,5,4,3,5,4,5,4,4,Answers the questions asked  Explains well,n/a
27/09/2023 12:12,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-C,Female,5 : Group C - Regular,16.67,5,5,4,5,5,5,5,5,5,5,5,1,1,5,4,5,3,5,5,5,5,Patience and flow,Too much content to deal with
27/09/2023 10:12,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-B,Male,3 : Group B - Regular,25,3,4,4,4,4,4,4,4,4,4,4,3,3,5,5,5,4,5,5,5,5,mode of delivery  Information,time liniency
27/09/2023 10:20,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-B,Female,3 : Group B - Regular,33.33,4,4,4,4,4,2,3,3,4,4,4,5,4,3,5,4,5,5,5,5,5,The mode of delivery   The assistance of reference links put on elearning for easy reference ,That the labs should be given more time to them 
27/09/2023 12:13,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-C,Female,5 : Group C - Regular,16.67,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,The lecturer ensures everyone understandsThe labs are fun,Breaks in between classes
27/09/2023 12:16,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-C,Female,6 : Group C - Exempt,0,4,5,5,5,5,4,4,4,4,4,4,5,3,5,4,4,5,5,3,5,5,The lecturer ensures everyone has understood.  It is practical.,Nothing. I am enjoying and understanding the course.
27/09/2023 12:18,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-C,Female,6 : Group C - Exempt,0,3,5,5,5,5,5,5,4,5,5,5,4,4,4,4,5,5,5,5,5,5,The explanations to the various concepts are well explained ,None 
27/09/2023 10:13,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-B,Male,3 : Group B - Regular,0,4,5,4,3,3,3,4,5,4,4,5,5,4,5,5,5,3,4,5,4,4,the labs sessions are nice,increase more labs
27/09/2023 10:15,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-B,Female,3 : Group B - Regular,16.67,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,3,5,5,5,5,i like the group labs  i like the topics,the labs are quite hefty so it really makes the work easier to do in a group
27/09/2023 10:13,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-B,Male,4 : Group B - Exempt,0,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,I find it current industry oriented,More engagement
27/09/2023 10:15,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-B,Female,4 : Group B - Exempt,8.33,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,The lecturer provides adequate feedback on the questions asked.  The lab work clearly elaborates on the work taught.,More time to be allocated in the lab work assignments.
27/09/2023 10:17,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-B,Female,4 : Group B - Exempt,33.33,5,5,5,5,5,4,5,5,5,5,5,3,3,4,5,5,4,5,5,5,5,The lecturer explains the content really well.,Nothing
27/09/2023 12:12,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-C,Female,5 : Group C - Regular,16.67,3,4,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,"Takes time to organize his work, I appreciate the effort",I am content
27/09/2023 12:13,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-C,Male,5 : Group C - Regular,25,4,4,5,5,4,4,3,4,3,4,5,4,3,4,4,3,3,3,3,4,3,So far so good  The lecturer is very clear,Reduce content  Reduce labwork
26/09/2023 12:03,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-A,Male,1 : Group A - Regular,15.38,4,4,4,3,4,4,3,3,4,3,5,3,4,3,3,3,3,4,4,3,4,It is comprehensive  It is easy to follow,.
26/09/2023 11:59,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-A,Male,1 : Group A - Regular,0,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,Labs that describe each step to be followed are engaging and learning enables me to follow through the lab properly  It is very engaging and interactive.,"Proper detailed explanation of the labs, rather than rushing through them quickly   More time is needed for lab completion and progressive follow-up so the lecturer knows where you are stuck."
26/09/2023 12:00,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-A,Female,1 : Group A - Regular,7.69,5,5,5,5,4,5,5,5,4,5,5,4,4,4,4,4,4,4,5,4,5,The lecturer asks questions  The lectures are clear ,More time for labs
27/09/2023 10:16,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-B,Female,3 : Group B - Regular,8.33,4,5,5,5,4,4,4,5,5,4,4,4,2,4,5,5,3,5,5,1,3,Interactive  Interesting ,So far none
02/10/2023 09:55,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-C,Female,5 : Group C - Regular,0,4,5,4,5,5,5,5,5,5,5,5,5,3,5,4,5,5,5,5,5,5,The content is very well delivered.,-
27/09/2023 12:13,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-C,Male,5 : Group C - Regular,0,3,5,5,5,5,1,2,5,5,5,5,4,4,5,4,4,5,5,5,5,5,"The assistance by the lecturer, the practicality","Reduce the workload, its honestly too much"
27/09/2023 12:16,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-C,Male,5 : Group C - Regular,33.33,4,4,4,4,5,5,4,4,4,5,5,3,4,5,5,5,5,5,5,5,3,Lab work  Class sessions,More reference material  Breaks during classes at least 5 mins   
26/09/2023 11:58,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-A,Female,1 : Group A - Regular,0,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,4,5, It is very participative and lecturer gives room for questions,None....The unit met my expectation and was delivered perfectly
26/09/2023 12:02,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-A,Male,1 : Group A - Regular,15.38,4,4,4,4,4,5,5,5,5,3,5,5,5,5,4,4,5,5,4,5,4,feedback is quickLecturer is willing to help,Avoid online classes
27/09/2023 10:18,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-B,Male,3 : Group B - Regular,8.33,3,4,4,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,Working as a team,Deadlines to be extended abit
27/09/2023 11:05,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-B,Male,3 : Group B - Regular,16.67,4,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,4,5,5,4,4,the fact that we get to do the lab work in groups   the interactive online and on campus classes,N/A
26/09/2023 12:11,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-A,Female,1 : Group A - Regular,30.77,4,4,5,4,4,4,4,5,5,5,5,4,4,5,5,5,5,5,5,5,5,I like how the Lecturer explains the concepts and takes us through the labs,i am enjoying the unit as it is
27/09/2023 12:23,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-C,Male,6 : Group C - Exempt,8.33,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,The concept are explained very well  A chance to learn R I have wanting to interact with R and data,Since we are about to finish our 8.4.4 system. To give us more recommendation on certificates and what the job market expects from us
27/09/2023 10:16,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-B,Male,3 : Group B - Regular,50,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,very interactive and hands on,better communication of activities btwn the students and the lec 
26/09/2023 11:58,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-A,Male,1 : Group A - Regular,15.38,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,5,4,4,4,4,4,on hand Practice  Good delivery,.
26/09/2023 12:00,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-A,Male,1 : Group A - Regular,15.38,5,5,5,5,5,5,5,5,5,5,5,4,4,3,3,3,3,3,3,3,3,It’s interactive and very logical.,Ensure that the code work can work with any dataset and not fixated on provided dataset
27/09/2023 10:18,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-B,Male,3 : Group B - Regular,25,4,4,4,5,4,4,4,2,3,4,4,3,2,4,3,2,4,4,3,3,4,The technical aspect of the unit.  The attentiveness to detail when it comes to the labs and concepts are clearly explained.,I would like there be more simpler labs with easier datasets to understands the concepts first then move on to more complex data handling and manipulation.
02/10/2023 18:25,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-C,Male,5 : Group C - Regular,25,5,4,5,5,5,5,5,5,4,3,4,2,3,5,4,4,2,4,5,4,5,i like the templates that come with the labs   i like the fact that we draw references from real world scenarios ,"i wish that that the lab assignments could be allocated more time, that they are marked towards the end of the semester    "
27/09/2023 10:38,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-B,Male,4 : Group B - Exempt,25,4,5,5,5,5,4,4,4,4,4,4,3,3,5,4,4,4,5,3,4,4,Wide scope of content  Practicability,None so far
27/09/2023 12:15,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-C,Male,5 : Group C - Regular,16.67,4,5,5,5,5,4,4,5,5,4,5,4,4,4,5,4,3,4,5,5,5,Once you follow the steps for the lab you will be okay.  The lecturer helps in one on one for the labs if one has an issue,Kindly share more reading materials and past papers.
02/10/2023 09:22,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-C,Male,5 : Group C - Regular,8.33,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,  The attention to detail when explaining the code. It makes it easier to understand  Having practical labs  ,  Having more practical labs  
27/09/2023 10:17,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-B,Male,3 : Group B - Regular,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,3,5,I like the way the topics are broken down very logical and easy to understand.  I like that we are constantly able to ask questions and be answered regardless of the nature of the question.,I recommend that the deadlines on the labs be more flexible as there are many subject and projects running concurrently.
26/09/2023 12:02,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-A,Male,1 : Group A - Regular,15.38,3,4,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,The lectures,"The labs are long, they are individually basically the same size as an entire same project"
27/09/2023 10:17,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-B,Male,3 : Group B - Regular,16.67,4,5,5,5,4,3,3,4,5,5,4,3,3,4,4,4,3,4,5,5,5,Its Good,No recomendation
27/09/2023 10:16,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-B,Female,3 : Group B - Regular,8.33,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,the lecturer  the lectures,so far so good
26/09/2023 11:54,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-A,Male,1 : Group A - Regular,15.38,5,5,5,4,4,4,4,5,5,5,5,4,4,5,5,5,5,4,5,5,5,"Lecturer, Teaching method",Greater in depth exploration into labs to ensure we're actually understanding what is going on.
27/09/2023 12:17,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-C,Female,5 : Group C - Regular,16.67,3,4,3,5,5,2,4,3,3,3,5,4,3,4,3,4,4,3,5,5,4,I like this ui=nit because it prompts me to think actually think and connect the dots ,"The content is so hard to understand and the lec solving other people's issues only bring more confusion to some of us, I wish he would go through the content first then afterwards focus on individual problems"
26/09/2023 12:00,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-A,Female,1 : Group A - Regular,23.08,4,4,4,4,4,3,4,5,5,4,5,4,4,4,4,3,4,4,3,4,4,Well explained content,He is doing a good job
27/09/2023 10:25,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-B,Male,3 : Group B - Regular,41.67,4,4,5,4,5,4,5,4,4,4,5,3,3,3,3,3,3,3,3,3,3,Gaining R skills,Personally I use linux and its kinda hard for me   You can add some YouTube materials 
27/09/2023 10:12,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-B,Male,4 : Group B - Exempt,8.33,3,5,5,5,4,5,4,4,4,3,5,3,3,3,3,3,3,3,3,3,3,Use of realistic  code  group work,Lab submissions still very confusing
27/09/2023 10:11,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-B,Male,3 : Group B - Regular,58.33,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,3,4,4,3,4,4,practicality  Engagement,More online sessions
27/09/2023 12:14,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-C,Female,5 : Group C - Regular,8.33,4,5,4,4,4,3,4,4,5,5,5,4,3,4,5,5,4,5,5,5,4,Group Labs,None
